Age,Gender,Education Level,Job Title,Years of Experience,Salary,ID
32,Male,Bachelor's,Software Engineer,5,90000,1
28,Female,Master's,Data Analyst,3,65000,2
45,Male,PhD,Senior Manager,15,150000,3
36,Female,Bachelor's,Sales Associate,7,60000,4
52,Male,Master's,Director,20,200000,5
29,Male,Bachelor's,Marketing Analyst,2,55000,6
42,Female,Master's,Product Manager,12,120000,7
31,Male,Bachelor's,Sales Manager,4,80000,8
26,Female,Bachelor's,Marketing Coordinator,1,45000,9
38,Male,PhD,Senior Scientist,10,110000,10
29,Male,Master's,Software Developer,3,75000,11
48,Female,Bachelor's,HR Manager,18,140000,12
35,Male,Bachelor's,Financial Analyst,6,65000,13
40,Female,Master's,Project Manager,14,130000,14
27,Male,Bachelor's,Customer Service Rep,2,40000,15
44,Male,Bachelor's,Operations Manager,16,125000,16
33,Female,Master's,Marketing Manager,7,90000,17
39,Male,PhD,Senior Engineer,12,115000,18
25,Female,Bachelor's,Data Entry Clerk,0,35000,19
51,Male,Bachelor's,Sales Director,22,180000,20
34,Female,Master's,Business Analyst,5,80000,21
47,Male,Master's,VP of Operations,19,190000,22
30,Male,Bachelor's,IT Support,2,50000,23
36,Female,Bachelor's,Recruiter,9,60000,24
41,Male,Master's,Financial Manager,13,140000,25
28,Female,Bachelor's,Social Media Specialist,3,45000,26
37,Female,Master's,Software Manager,11,110000,27
24,Male,Bachelor's,Junior Developer,1,40000,28
43,Female,PhD,Senior Consultant,15,140000,29
33,Male,Master's,Product Designer,6,90000,30
50,Male,Bachelor's,CEO,25,250000,31
31,Female,Bachelor's,Accountant,4,55000,32
29,Male,Master's,Data Scientist,3,75000,33
39,Female,Bachelor's,Marketing Specialist,10,65000,34
46,Male,PhD,Senior Manager,20,170000,35
27,Male,Bachelor's,Technical Writer,2,45000,36
35,Female,Bachelor's,HR Generalist,7,60000,37
42,Male,Master's,Project Engineer,14,115000,38
26,Female,Bachelor's,Customer Success Rep,1,40000,39
49,Male,Bachelor's,Sales Executive,21,160000,40
34,Female,Master's,UX Designer,5,80000,41
48,Male,Master's,Operations Director,18,190000,42
30,Male,Bachelor's,Network Engineer,3,60000,43
36,Female,Bachelor's,Administrative Assistant,8,45000,44
41,Male,Master's,Strategy Consultant,13,130000,45
28,Female,Bachelor's,Copywriter,2,40000,46
32,Male,Bachelor's,Account Manager,5,75000,47
45,Female,Master's,Director of Marketing,16,180000,48
38,Male,PhD,Senior Scientist,11,120000,49
25,Male,Bachelor's,Help Desk Analyst,0,35000,50
51,Female,Bachelor's,Customer Service Manager,22,130000,51
33,Male,Master's,Business Intelligence Analyst,7,85000,52
40,Female,Bachelor's,Event Coordinator,12,60000,53
47,Male,Master's,VP of Finance,19,200000,54
29,Female,Bachelor's,Graphic Designer,3,50000,55
36,Male,Bachelor's,Sales Manager,9,95000,56
27,Female,Master's,UX Researcher,2,65000,57
43,Male,PhD,Senior Engineer,17,140000,58
30,Female,Bachelor's,Social Media Manager,4,55000,59
35,Male,Master's,Product Manager,7,105000,60
51,Female,Master's,Director of Operations,23,170000,61
29,Male,Bachelor's,Marketing Analyst,3,50000,62
40,Female,Bachelor's,HR Manager,12,80000,63
47,Male,PhD,Senior Data Scientist,21,180000,64
26,Male,Bachelor's,Junior Accountant,1,35000,65
38,Female,Master's,Digital Marketing Manager,10,90000,66
46,Male,Bachelor's,IT Manager,19,120000,67
31,Female,Bachelor's,Customer Service Representative,5,45000,68
34,Male,Master's,Business Development Manager,8,90000,69
49,Female,Master's,Senior Financial Analyst,18,150000,70
33,Male,Bachelor's,Web Developer,6,65000,71
39,Female,Bachelor's,Recruiter,11,70000,72
45,Male,PhD,Research Director,16,190000,73
28,Male,Bachelor's,Technical Support Specialist,2,40000,74
42,Female,Master's,Creative Director,14,120000,75
37,Male,Bachelor's,Project Manager,10,95000,76
50,Female,Bachelor's,Operations Manager,22,160000,77
32,Male,Master's,Senior Software Engineer,6,100000,78
48,Female,Master's,Human Resources Director,20,180000,79
30,Female,Bachelor's,Content Marketing Manager,3,55000,80
36,Male,Bachelor's,Technical Recruiter,8,70000,81
41,Female,Master's,Data Analyst,13,80000,82
25,Male,Bachelor's,Sales Representative,0,30000,83
52,Male,PhD,Chief Technology Officer,24,250000,84
29,Female,Bachelor's,Junior Designer,2,40000,85
34,Female,Master's,Financial Advisor,10,95000,86
27,Male,Bachelor's,Junior Account Manager,2,45000,87
40,Female,Bachelor's,HR Generalist,15,80000,88
46,Male,Master's,Senior Project Manager,21,135000,89
31,Female,Bachelor's,Marketing Coordinator,6,55000,90
36,Male,PhD,Principal Scientist,11,120000,91
29,Female,Bachelor's,Sales Associate,3,40000,92
43,Male,Bachelor's,Supply Chain Manager,18,105000,93
52,Female,Master's,Senior Marketing Manager,25,170000,94
33,Male,Bachelor's,Business Analyst,7,75000,95
39,Female,Bachelor's,Training Specialist,12,65000,96
47,Male,PhD,Research Scientist,22,160000,97
26,Male,Bachelor's,Junior Software Developer,1,35000,98
38,Female,Master's,Public Relations Manager,10,90000,99
45,Male,Bachelor's,Operations Analyst,20,110000,100
31,Female,Bachelor's,Event Coordinator,5,45000,101
35,Male,Master's,Product Marketing Manager,8,95000,102
49,Female,Master's,Senior HR Manager,19,150000,103
33,Male,Bachelor's,Junior Web Developer,5,50000,104
39,Female,Master's,Senior Project Coordinator,13,80000,105
44,Male,PhD,Chief Data Officer,16,220000,106
30,Female,Bachelor's,Digital Content Producer,3,50000,107
36,Male,Bachelor's,IT Support Specialist,7,60000,108
41,Female,Master's,Senior Marketing Analyst,14,100000,109
28,Male,Bachelor's,Customer Success Manager,2,40000,110
42,Female,Master's,Senior Graphic Designer,15,110000,111
37,Male,Bachelor's,Software Project Manager,9,95000,112
50,Female,Bachelor's,Supply Chain Analyst,22,130000,113
32,Male,Master's,Senior Business Analyst,6,90000,114
23,Female,Bachelor's,Junior Marketing Analyst,0.5,35000,115
31,Male,Master's,Senior Financial Analyst,6,95000,116
40,Female,Bachelor's,Office Manager,15,65000,117
48,Male,PhD,Principal Engineer,20,170000,118
29,Female,Bachelor's,Junior HR Generalist,3,45000,119
35,Male,Master's,Senior Product Manager,10,120000,120
42,Female,Bachelor's,Sales Manager,17,100000,121
53,Male,Master's,Director of Marketing,25,180000,122
33,Female,Bachelor's,Junior Operations Analyst,5,50000,123
38,Male,Bachelor's,Customer Service Manager,11,80000,124
44,Female,PhD,Senior Scientist,16,140000,125
26,Male,Bachelor's,Junior Accountant,2,40000,126
37,Female,Master's,Senior HR Generalist,9,95000,127
45,Male,Bachelor's,Sales Operations Manager,18,110000,128
32,Female,Bachelor's,Marketing Coordinator,4,50000,129
34,Male,Master's,Senior Software Developer,8,105000,130
50,Female,Master's,Director of Operations,21,160000,131
29,Male,Bachelor's,Junior Web Designer,3,45000,132
40,Female,Master's,Senior Training Specialist,12,100000,133
47,Male,PhD,Senior Research Scientist,22,160000,134
27,Male,Bachelor's,Junior Sales Representative,1,35000,135
39,Female,Bachelor's,Administrative Assistant,10,55000,136
